#separator:tab
#html:true
#notetype:Basic
#deck:Japones::Vocabulario
#tags column:3
あい	ai — amor	fase0 vocab dia1
あお	ao — azul (a cor)	fase0 vocab dia1
いえ	ie — casa	fase0 vocab dia1
うえ	ue — em cima, sobre	fase0 vocab dia1
え	e — quadro, desenho	fase0 vocab dia1
あう	au — encontrar(-se) com alguem	fase0 vocab dia1
いう	iu — dizer	fase0 vocab dia1
いいえ	iie — nao (a resposta)<br>4 tempos: i-i-e, com o い segurado	fase0 vocab dia1
おおい	ooi — muitos, muito (em quantidade)<br>3 tempos, com o お segurado	fase0 vocab dia1
あおい	aoi — azul (adjetivo)<br>3 tempos: a-o-i. Sem ditongo: cada vogal tem seu tempo.	fase0 vocab dia1
かお	kao — rosto	fase0 vocab dia2
こえ	koe — voz	fase0 vocab dia2
えき	eki — estacao (de trem)	fase0 vocab dia2
いけ	ike — lago, tanque	fase0 vocab dia2
ここ	koko — aqui	fase0 vocab dia2
くうき	kuuki — ar<br>3 moras: ku-u-ki, com o く segurado	fase0 vocab dia2
あかい	akai — vermelho	fase0 vocab dia2
おおきい	ookii — grande<br>4 moras: o-o-ki-i. Conte os kana, nao os sons.	fase0 vocab dia2
かく	kaku — escrever (verbo, forma de dicionario)	fase0 vocab dia2
きく	kiku — ouvir; perguntar (verbo, forma de dicionario)	fase0 vocab dia2
かう	kau — comprar (verbo, forma de dicionario)	fase0 vocab dia2
すし	sushi — sushi	fase0 vocab dia3
した	shita — embaixo, sob<br>oposto de うえ	fase0 vocab dia3
あした	ashita — amanha<br>3 moras	fase0 vocab dia3
あさ	asa — manha	fase0 vocab dia3
そと	soto — fora<br>CUIDADO: と, nao こ	fase0 vocab dia3
くつ	kutsu — sapato<br>CUIDADO: く (ku), nao こ (ko)	fase0 vocab dia3
とけい	tokei — relogio	fase0 vocab dia3
つくえ	tsukue — mesa, escrivaninha	fase0 vocab dia3
いす	isu — cadeira	fase0 vocab dia3
ちいさい	chiisai — pequeno<br>4 moras: chi-i-sa-i. Oposto de おおきい.	fase0 vocab dia3
たかい	takai — alto; caro	fase0 vocab dia3
ちかい	chikai — perto<br>Difere de たかい por um unico kana: た/ち	fase0 vocab dia3
そこ	soko — ai (perto de quem ouve)	fase0 vocab dia3
あそこ	asoko — la (longe dos dois)	fase0 vocab dia3
つかい	tsukai — uso; recado<br>De つかう (usar). Comum em おつかい (fazer um recado).	fase0 vocab dia3
ねこ	neko — gato<br>ね esta no gato; ぬ esta no cachorro (いぬ)	fase0 vocab dia4
いぬ	inu — cachorro	fase0 vocab dia4
はな	hana — flor; nariz	fase0 vocab dia4
ほし	hoshi — estrela<br>CUIDADO: ほ (com chapeu), nao は nem と	fase0 vocab dia4
はし	hashi — ponte; palitinhos; borda<br>Tres palavras diferentes com a mesma leitura — o kanji e que as separa	fase0 vocab dia4
ふね	fune — barco	fase0 vocab dia4
なつ	natsu — verao	fase0 vocab dia4
ひと	hito — pessoa	fase0 vocab dia4
なに	nani — o que<br>Primeira palavra de pergunta	fase0 vocab dia4
はこ	hako — caixa	fase0 vocab dia4
にく	niku — carne	fase0 vocab dia4
ふく	fuku — roupa	fase0 vocab dia4
なか	naka — dentro, meio	fase0 vocab dia4
ひとつ	hitotsu — um (contando coisas)	fase0 vocab dia4
ふたつ	futatsu — dois (contando coisas)	fase0 vocab dia4
とし	toshi — ano; idade	fase0 vocab dia4
め	me — olho<br>め e ぬ sem a voltinha da cauda	fase0 vocab dia5
みみ	mimi — orelha	fase0 vocab dia5
やま	yama — montanha<br>CUIDADO ao digitar: Y e U sao vizinhas no teclado	fase0 vocab dia5
うみ	umi — mar	fase0 vocab dia5
ゆき	yuki — neve	fase0 vocab dia5
あめ	ame — chuva	fase0 vocab dia5
むし	mushi — inseto	fase0 vocab dia5
いま	ima — agora	fase0 vocab dia5
まち	machi — cidade	fase0 vocab dia5
もの	mono — coisa	fase0 vocab dia5
なまえ	namae — nome<br>De outra pessoa: おなまえ	fase0 vocab dia5
かみ	kami — papel; cabelo; deus<br>Tres palavras, mesma leitura — o kanji separa	fase0 vocab dia5
はやい	hayai — rapido	fase0 vocab dia5
まいにち	mainichi — todo dia<br>CUIDADO ao digitar: 'mainichu' vira まいにちゅ	fase0 vocab dia5
やすみ	yasumi — descanso, folga	fase0 vocab dia5
おやすみ	oyasumi — "boa noite" (ao se despedir para dormir)<br>お = prefixo de polidez, nao muda o significado	fase0 vocab dia5
そら	sora — ceu	fase0 vocab dia6
さくら	sakura — cerejeira	fase0 vocab dia6
とり	tori — passaro	fase0 vocab dia6
くるま	kuruma — carro	fase0 vocab dia6
しろ	shiro — branco	fase0 vocab dia6
くろ	kuro — preto	fase0 vocab dia6
いろ	iro — cor	fase0 vocab dia6
ひる	hiru — meio-dia, tarde	fase0 vocab dia6
よる	yoru — noite	fase0 vocab dia6
わたし	watashi — eu	fase0 vocab dia6
ほん	hon — livro	fase0 vocab dia6
にほん	nihon — Japao<br>DIGITACAO: nihonn (o n final precisa de nn)	fase0 vocab dia6
せんせい	sensei — professor	fase0 vocab dia6
こんにちは	konnichiwa — ola<br>Termina em は porque e a particula: soa 'wa'.<br>DIGITACAO: konnnichiha, com TRES n	fase0 vocab dia6
すみません	sumimasen — desculpe; com licenca	fase0 vocab dia6
さようなら	sayounara — adeus	fase0 vocab dia6
はい	hai — sim<br>Par de いいえ (nao), aprendido no dia 1	fase0 vocab dia6
ありがとう	arigatou — obrigado	fase0 vocab dia7
ごめんなさい	gomennasai — desculpe<br>DIGITACAO: gomen'nasai (com apostrofo) ou gomennnasai (3 n)	fase0 vocab dia7
ともだち	tomodachi — amigo	fase0 vocab dia7
かぞく	kazoku — familia	fase0 vocab dia7
みず	mizu — agua	fase0 vocab dia7
でんわ	denwa — telefone	fase0 vocab dia7
だいがく	daigaku — universidade	fase0 vocab dia7
げんき	genki — animado, bem de saude	fase0 vocab dia7
じかん	jikan — tempo, hora	fase0 vocab dia7
たべもの	tabemono — comida	fase0 vocab dia7
のみもの	nomimono — bebida	fase0 vocab dia7
ごはん	gohan — arroz cozido; refeicao	fase0 vocab dia7
でぐち	deguchi — saida	fase0 vocab dia7
いりぐち	iriguchi — entrada	fase0 vocab dia7
かばん	kaban — bolsa, mala	fase0 vocab dia7
えんぴつ	enpitsu — lapis	fase0 vocab dia7
ぜんぶ	zenbu — tudo	fase0 vocab dia7
おかね	okane — dinheiro<br>かね com o prefixo de polidez お	fase0 vocab extra
とき	toki — tempo, momento	fase0 vocab extra
ときはかねなり	toki wa kane nari — "tempo e dinheiro"<br>Proverbio: 時は金なり. なり e uma forma arcaica de です.	fase0 vocab extra
じかんはおかねです	jikan wa okane desu — "tempo e dinheiro"<br>Estrutura A は B です. Sem を: です nao recebe objeto.	fase0 gramatica extra
テスト	tesuto — teste	fase0 katakana dia8
テキスト	tekisuto — texto	fase0 katakana dia8
アクセス	akusesu — acesso	fase0 katakana dia8
スタート	sutaato — start, inicio	fase0 katakana dia8
コスト	kosuto — custo	fase0 katakana dia8
カード	kaado — cartao<br>CUIDADO: vogal longa no katakana e ー, nunca a vogal repetida	fase0 katakana dia8
タクシー	takushii — taxi	fase0 katakana dia8
ケーキ	keeki — bolo<br>3 moras: ke-e-ki	fase0 katakana dia8
スキー	sukii — esqui	fase0 katakana dia8
チーズ	chiizu — queijo<br>ズ = ス + dakuten	fase0 katakana dia8
サッカー	sakkaa — futebol<br>4 moras: sa-tsu(pausa)-ka-a. ッ e ー nao tem som, mas ocupam tempo.	fase0 katakana dia8
アイス	aisu — sorvete, gelo	fase0 katakana dia8
サイズ	saizu — tamanho	fase0 katakana dia8
スーツ	suutsu — terno	fase0 katakana dia8
ヴィニシウス・ベルムデス・ゴウラルト	Vinicius Bermudes Goulart<br>Regra: consoante solta pede ウ, exceto t/d que pedem オ.<br>O ・ (nakaguro) separa nomes estrangeiros — japones nao usa espaco.	fase0 katakana dia8
ネット	netto — net, internet	fase0 katakana dia9
データ	deeta — dados<br>デ = テ + dakuten	fase0 katakana dia9
サーバー	saabaa — servidor<br>4 moras: sa-a-ba-a. Tem ー nas DUAS posicoes.	fase0 katakana dia9
ソフト	sofuto — software	fase0 katakana dia9
ハード	haado — hardware	fase0 katakana dia9
コード	koodo — codigo	fase0 katakana dia9
メソッド	mesoddo — metodo<br>4 moras: me-so-(pausa)-do	fase0 katakana dia9
ホスト	hosuto — host	fase0 katakana dia9
モニター	monitaa — monitor	fase0 katakana dia9
ホーム	hoomu — home	fase0 katakana dia9
メモ	memo — anotacao	fase0 katakana dia9
ミス	misu — erro	fase0 katakana dia9
ノート	nooto — caderno; notebook	fase0 katakana dia9
マップ	mappu — mapa	fase0 katakana dia9
テニス	tenisu — tenis	fase0 katakana dia9
ナイフ	naifu — faca	fase0 katakana dia9
バグ	bagu — bug<br>2 moras. O /u/ ingles de bug/bus/cup vira ア, nao ウ: バス (bus), カップ (cup).	fase0 katakana dia9
ユーザー	yuuzaa — usuario<br>ユーザ (sem o ー) aparece em documentacao tecnica	fase0 katakana dia10
リスト	risuto — lista	fase0 katakana dia10
ログ	rogu — log	fase0 katakana dia10
リンク	rinku — link	fase0 katakana dia10
エラー	eraa — erro	fase0 katakana dia10
ファイル	fairu — arquivo	fase0 katakana dia10
メール	meeru — e-mail	fase0 katakana dia10
ルール	ruuru — regra	fase0 katakana dia10
ライブラリ	raiburari — biblioteca	fase0 katakana dia10
クラウド	kuraudo — nuvem, cloud	fase0 katakana dia10
デプロイ	depuroi — deploy<br>4 moras. O -oy final e DITONGO: vira ロ + イ, nao consoante + vogal.	fase0 katakana dia10
ロボット	robotto — robo	fase0 katakana dia10
パソコン	pasokon — computador<br>De "personal computer", cortado em duas moras por pedaco	fase0 katakana dia10
ラーメン	raamen — lamen	fase0 katakana dia10
レストラン	resutoran — restaurante	fase0 katakana dia10
コーヒー	koohii — cafe<br>4 moras	fase0 katakana dia10
テレビ	terebi — televisao	fase0 katakana dia10
